Mouse.ID	Measurement	Type
M21	441.89	villus (um)
M21	368.45	villus (um)
M22	486.28	villus (um)
M22	329.07	villus (um)
M22	466.32	villus (um)
M22	342.12	villus (um)
M22	436.92	villus (um)
M22	343.92	villus (um)
M22	365.35	villus (um)
M22	357.91	villus (um)
M22	378.16	villus (um)
M22	384.18	villus (um)
M22	342.90	villus (um)
M22	326.73	villus (um)
M22	379.71	villus (um)
M22	336.75	villus (um)
M22	375.81	villus (um)
M22	466.45	villus (um)
M22	348.30	villus (um)
M22	395.17	villus (um)
M22	454.98	villus (um)
M22	385.20	villus (um)
M22	411.77	villus (um)
M22	405.17	villus (um)
M22	359.01	villus (um)
M22	383.38	villus (um)
M22	361.45	villus (um)
M22	371.27	villus (um)
M22	497.75	villus (um)
M23	376.41	villus (um)
M23	477.41	villus (um)
M23	389.36	villus (um)
M23	472.72	villus (um)
M23	454.89	villus (um)
M23	451.77	villus (um)
M23	412.83	villus (um)
M23	390.39	villus (um)
M23	465.98	villus (um)
M23	420.53	villus (um)
M23	352.28	villus (um)
M23	348.24	villus (um)
M23	441.63	villus (um)
M23	465.77	villus (um)
M23	356.30	villus (um)
M23	378.66	villus (um)
M23	406.12	villus (um)
M23	428.30	villus (um)
M23	432.87	villus (um)
M23	390.17	villus (um)
M23	409.60	villus (um)
M23	443.49	villus (um)
M23	394.52	villus (um)
M24	489.01	villus (um)
M24	460.60	villus (um)
M24	430.80	villus (um)
M24	372.45	villus (um)
M24	381.38	villus (um)
M24	367.71	villus (um)
M24	438.86	villus (um)
M24	429.85	villus (um)
M24	413.06	villus (um)
M24	410.57	villus (um)
M24	457.90	villus (um)
M24	465.46	villus (um)
M24	449.97	villus (um)
M24	449.51	villus (um)
M24	408.55	villus (um)
M24	501.66	villus (um)
M24	580.28	villus (um)
M24	561.97	villus (um)
M27	608.19	villus (um)
M27	530.63	villus (um)
M27	533.47	villus (um)
M27	464.69	villus (um)
M27	400.38	villus (um)
M27	446.69	villus (um)
M27	346.64	villus (um)
M27	368.30	villus (um)
M27	374.44	villus (um)
M27	461.21	villus (um)
M27	456.68	villus (um)
M27	463.96	villus (um)
M27	432.65	villus (um)
M27	488.76	villus (um)
M27	374.38	villus (um)
M27	333.41	villus (um)
M27	353.12	villus (um)
M27	504.66	villus (um)
M27	450.80	villus (um)
M27	451.07	villus (um)
M27	399.04	villus (um)
M27	441.85	villus (um)
M27	385.09	villus (um)
M27	456.00	villus (um)
M27	458.81	villus (um)
M27	469.44	villus (um)
M27	462.10	villus (um)
M29	452.93	villus (um)
M29	478.27	villus (um)
M29	399.06	villus (um)
M29	375.50	villus (um)
M29	366.27	villus (um)
M29	377.76	villus (um)
M29	343.34	villus (um)
M29	353.78	villus (um)
M29	342.33	villus (um)
M30	410.26	villus (um)
M30	514.52	villus (um)
M30	463.08	villus (um)
M30	454.63	villus (um)
M30	548.87	villus (um)
M30	493.37	villus (um)
M30	528.19	villus (um)
M30	351.41	villus (um)
M30	492.00	villus (um)
M30	514.31	villus (um)
M30	350.21	villus (um)
M30	526.58	villus (um)
M30	527.02	villus (um)
M30	479.36	villus (um)
M30	404.55	villus (um)
M30	392.41	villus (um)
M30	419.42	villus (um)
M1	120.46	crypt (um)
M1	132.09	crypt (um)
M1	110.35	crypt (um)
M1	88.03	crypt (um)
M1	114.38	crypt (um)
M1	86.58	crypt (um)
M1	108.08	crypt (um)
M1	98.98	crypt (um)
M1	121.19	crypt (um)
M1	122.09	crypt (um)
M1	110.25	crypt (um)
M1	99.3	crypt (um)
M1	105.46	crypt (um)
M1	127.57	crypt (um)
M1	103.57	crypt (um)
M2	89.19	crypt (um)
M2	91.83	crypt (um)
M2	83.22	crypt (um)
M2	110.23	crypt (um)
M2	111.88	crypt (um)
M2	98.5	crypt (um)
M2	86.02	crypt (um)
M2	105.62	crypt (um)
M2	87.25	crypt (um)
M2	84.34	crypt (um)
M2	100.3	crypt (um)
M2	68.71	crypt (um)
M2	66.94	crypt (um)
M2	93.48	crypt (um)
M2	91.39	crypt (um)
M2	101.87	crypt (um)
M2	82.67	crypt (um)
M2	99.48	crypt (um)
M2	97.86	crypt (um)
M2	73.17	crypt (um)
M2	70.6	crypt (um)
M2	89.05	crypt (um)
M2	89.45	crypt (um)
M2	78.16	crypt (um)
M2	95.37	crypt (um)
M2	95.6	crypt (um)
M2	98.79	crypt (um)
M3	119.99	crypt (um)
M3	107.49	crypt (um)
M3	98.38	crypt (um)
M3	104.59	crypt (um)
M3	184.03	crypt (um)
M3	106.48	crypt (um)
M3	83.3	crypt (um)
M3	111.21	crypt (um)
M3	76.1	crypt (um)
M3	103.08	crypt (um)
M3	89.09	crypt (um)
M3	105.92	crypt (um)
M3	124.14	crypt (um)
M3	112.21	crypt (um)
M3	126.81	crypt (um)
M4	94.76	crypt (um)
M4	81.9	crypt (um)
M4	103.64	crypt (um)
M4	108.76	crypt (um)
M4	98.1	crypt (um)
M4	84.3	crypt (um)
M4	123.22	crypt (um)
M4	81.54	crypt (um)
M4	89.49	crypt (um)
M4	76.91	crypt (um)
M4	79.85	crypt (um)
M4	85.65	crypt (um)
M4	92.78	crypt (um)
M4	97.63	crypt (um)
M5	88.71	crypt (um)
M5	83.2	crypt (um)
M5	80.95	crypt (um)
M5	85.02	crypt (um)
M5	92.09	crypt (um)
M5	103.84	crypt (um)
M5	99.31	crypt (um)
M5	111.55	crypt (um)
M5	108.91	crypt (um)
M5	104.89	crypt (um)
M5	97.65	crypt (um)
M5	111.04	crypt (um)
M5	88.4	crypt (um)
M5	101.25	crypt (um)
M5	95.18	crypt (um)
M5	106.16	crypt (um)
M5	97.26	crypt (um)
M5	79.31	crypt (um)
M5	97.53	crypt (um)
M5	77.56	crypt (um)
M5	114.21	crypt (um)
M5	107.29	crypt (um)
M6	81.29	crypt (um)
M6	74.21	crypt (um)
M6	77.11	crypt (um)
M6	90.77	crypt (um)
M6	103.57	crypt (um)
M6	86.14	crypt (um)
M6	117.12	crypt (um)
M6	94.08	crypt (um)
M6	95.52	crypt (um)
M6	94.79	crypt (um)
M6	74.7	crypt (um)
M6	92.47	crypt (um)
M6	112.93	crypt (um)
M6	89.23	crypt (um)
M6	66.16	crypt (um)
M6	97.6	crypt (um)
M6	101.85	crypt (um)
M6	92.27	crypt (um)
M6	97.44	crypt (um)
M6	95.52	crypt (um)
M7	61.71	crypt (um)
M7	86.74	crypt (um)
M7	75.92	crypt (um)
M7	85.94	crypt (um)
M7	96.31	crypt (um)
M7	95.92	crypt (um)
M7	65.55	crypt (um)
M7	106.9	crypt (um)
M7	96.04	crypt (um)
M7	77.09	crypt (um)
M7	83.31	crypt (um)
M7	92.88	crypt (um)
M7	66.36	crypt (um)
M7	73.23	crypt (um)
M7	79.15	crypt (um)
M7	77.96	crypt (um)
M7	74.64	crypt (um)
M8	70.15	crypt (um)
M8	70.17	crypt (um)
M8	74.29	crypt (um)
M8	71.66	crypt (um)
M8	71.66	crypt (um)
M8	72.74	crypt (um)
M8	64.46	crypt (um)
M8	60.83	crypt (um)
M8	90.01	crypt (um)
M8	80.63	crypt (um)
M8	67.16	crypt (um)
M8	65.67	crypt (um)
M8	85.86	crypt (um)
M8	82.15	crypt (um)
M8	85.17	crypt (um)
M8	69.65	crypt (um)
M8	88.63	crypt (um)
M8	79.58	crypt (um)
M8	74.09	crypt (um)
M8	73.9	crypt (um)
M8	111.66	crypt (um)
M8	82.93	crypt (um)
M8	95.55	crypt (um)
M8	90.87	crypt (um)
M8	85.64	crypt (um)
M8	89.56	crypt (um)
M8	71.58	crypt (um)
M9	72.19	crypt (um)
M9	95.66	crypt (um)
M9	110.9	crypt (um)
M9	73.74	crypt (um)
M9	109.4	crypt (um)
M9	82.88	crypt (um)
M9	80.63	crypt (um)
M9	82.77	crypt (um)
M9	93.23	crypt (um)
M9	71.55	crypt (um)
M9	114.4	crypt (um)
M9	105.29	crypt (um)
M9	62.83	crypt (um)
M9	96.25	crypt (um)
M9	99.9	crypt (um)
M9	94.57	crypt (um)
M9	102.3	crypt (um)
M9	104.18	crypt (um)
M9	93.56	crypt (um)
M9	75.52	crypt (um)
M10	108.69	crypt (um)
M10	90.45	crypt (um)
M10	89.12	crypt (um)
M10	106.49	crypt (um)
M10	78.77	crypt (um)
M10	139.11	crypt (um)
M10	108.7	crypt (um)
M10	79.31	crypt (um)
M10	93.51	crypt (um)
M10	95.28	crypt (um)
M10	97.52	crypt (um)
M10	112.7	crypt (um)
M10	92.66	crypt (um)
M10	98.3	crypt (um)
M10	109.48	crypt (um)
M10	115.14	crypt (um)
M10	94.89	crypt (um)
M10	83.03	crypt (um)
M10	112.43	crypt (um)
M10	82.81	crypt (um)
M10	90.96	crypt (um)
M10	100.44	crypt (um)
M10	97.55	crypt (um)
M10	81.36	crypt (um)
M10	106.08	crypt (um)
M10	113.36	crypt (um)
M11	74.84	crypt (um)
M11	91.71	crypt (um)
M11	73.94	crypt (um)
M11	94.23	crypt (um)
M11	121.77	crypt (um)
M11	87.6	crypt (um)
M11	83.16	crypt (um)
M11	78.36	crypt (um)
M11	95.02	crypt (um)
M11	86.98	crypt (um)
M11	65.84	crypt (um)
M11	70.63	crypt (um)
M11	78.36	crypt (um)
M11	86.99	crypt (um)
M11	73.35	crypt (um)
M11	92.77	crypt (um)
M11	84.87	crypt (um)
M11	75.66	crypt (um)
M11	72.03	crypt (um)
M11	88.65	crypt (um)
M11	85.54	crypt (um)
M13	91.46	crypt (um)
M13	79.06	crypt (um)
M13	108.25	crypt (um)
M13	84.92	crypt (um)
M13	84.92	crypt (um)
M13	92.69	crypt (um)
M13	69.11	crypt (um)
M13	59.5	crypt (um)
M13	83.52	crypt (um)
M13	85.34	crypt (um)
M13	68.81	crypt (um)
M13	79.61	crypt (um)
M13	70.72	crypt (um)
M13	65.96	crypt (um)
M13	70.87	crypt (um)
M13	68.55	crypt (um)
M13	67	crypt (um)
M13	71.22	crypt (um)
M13	95.62	crypt (um)
M13	88.2	crypt (um)
M13	68.53	crypt (um)
M13	74.6	crypt (um)
M13	74.38	crypt (um)
M13	76.85	crypt (um)
M14	71.98	crypt (um)
M14	75.17	crypt (um)
M14	70.1	crypt (um)
M14	83.61	crypt (um)
M14	76.59	crypt (um)
M14	64.58	crypt (um)
M14	85.01	crypt (um)
M14	61.09	crypt (um)
M14	69.92	crypt (um)
M14	93.31	crypt (um)
M14	107.87	crypt (um)
M14	85.44	crypt (um)
M14	81.42	crypt (um)
M14	73.01	crypt (um)
M14	79.49	crypt (um)
M14	76.09	crypt (um)
M14	84.88	crypt (um)
M14	71.81	crypt (um)
M14	83.15	crypt (um)
M14	96.33	crypt (um)
M14	75.2	crypt (um)
M14	74.26	crypt (um)
M14	117	crypt (um)
M14	109.01	crypt (um)
M14	96.69	crypt (um)
M16	109.41	crypt (um)
M16	111.26	crypt (um)
M16	97.29	crypt (um)
M16	118.3	crypt (um)
M16	103.11	crypt (um)
M16	100.89	crypt (um)
M16	90.49	crypt (um)
M16	97.79	crypt (um)
M16	101.73	crypt (um)
M16	97.42	crypt (um)
M16	75.25	crypt (um)
M16	124.55	crypt (um)
M16	65.61	crypt (um)
M16	72.76	crypt (um)
M16	90.52	crypt (um)
M16	73.68	crypt (um)
M16	103.86	crypt (um)
M16	88.46	crypt (um)
M16	94.24	crypt (um)
M16	91.07	crypt (um)
M16	89.5	crypt (um)
M16	89.8	crypt (um)
M16	83.55	crypt (um)
M17	59.27	crypt (um)
M17	68.02	crypt (um)
M17	63.73	crypt (um)
M17	74.92	crypt (um)
M17	79.41	crypt (um)
M17	56.75	crypt (um)
M17	85.33	crypt (um)
M17	76.34	crypt (um)
M17	70.54	crypt (um)
M17	62.77	crypt (um)
M17	85.55	crypt (um)
M17	114.72	crypt (um)
M17	70.36	crypt (um)
M17	79.05	crypt (um)
M17	69.03	crypt (um)
M17	79.97	crypt (um)
M17	61.55	crypt (um)
M17	90.25	crypt (um)
M17	61.74	crypt (um)
M17	74.2	crypt (um)
M17	88.82	crypt (um)
M17	84.02	crypt (um)
M17	93.7	crypt (um)
M20	92	crypt (um)
M20	58.91	crypt (um)
M20	55.74	crypt (um)
M20	85.01	crypt (um)
M20	78.76	crypt (um)
M20	100.77	crypt (um)
M20	98.39	crypt (um)
M20	106.07	crypt (um)
M20	88.96	crypt (um)
M20	92.9	crypt (um)
M20	80.25	crypt (um)
M20	101.83	crypt (um)
M20	75.17	crypt (um)
M20	78.83	crypt (um)
M20	83.89	crypt (um)
M20	67.54	crypt (um)
M20	62.81	crypt (um)
M20	69.87	crypt (um)
M20	11.75	crypt (um)
M20	76.12	crypt (um)
M20	98.56	crypt (um)
M12	90.02	crypt (um)
M12	104.39	crypt (um)
M12	62.69	crypt (um)
M12	117.42	crypt (um)
M12	95.87	crypt (um)
M12	71.07	crypt (um)
M12	62.98	crypt (um)
M12	75.41	crypt (um)
M12	78.62	crypt (um)
M12	74.62	crypt (um)
M12	87.25	crypt (um)
